
=== Static  K=20, L=9, G=6  (G+L)*M/K=3.00 ===
  [ 1/50] seed=2  LB-BVF: mr=79.3 jfi=0.566
  [32/50] seed=32  LB-BVF: mr=75.0 jfi=0.877
  [33/50] seed=33  LB-BVF: mr=100.0 jfi=0.863
  [34/50] seed=35  LB-BVF: mr=82.4 jfi=0.973
  [35/50] seed=34  LB-BVF: mr=81.8 jfi=0.964
  [36/50] seed=37  LB-BVF: mr=97.0 jfi=0.861
  [37/50] seed=36  LB-BVF: mr=99.6 jfi=0.839
  [38/50] seed=38  LB-BVF: mr=99.8 jfi=0.975
  [39/50] seed=40  LB-BVF: mr=92.4 jfi=0.830
  [40/50] seed=39  LB-BVF: mr=88.2 jfi=0.799
  [41/50] seed=41  LB-BVF: mr=94.2 jfi=0.961
  [42/50] seed=42  LB-BVF: mr=85.3 jfi=0.919
  [43/50] seed=47  LB-BVF: mr=74.8 jfi=0.652
  [44/50] seed=43  LB-BVF: mr=82.3 jfi=0.860
  [45/50] seed=45  LB-BVF: mr=78.8 jfi=0.923
  [46/50] seed=44  LB-BVF: mr=71.6 jfi=0.855
  [47/50] seed=46  LB-BVF: mr=88.6 jfi=0.982
  [48/50] seed=48  LB-BVF: mr=83.6 jfi=0.823
  [49/50] seed=49  LB-BVF: mr=75.6 jfi=0.852
  [50/50] seed=50  LB-BVF: mr=78.8 jfi=0.784

  K=20 完成 (746s)
  LB-BVF          : mr=85.45  jfi=0.8866  js=1.0747
  GA-3D-LB        : mr=68.85  jfi=0.8285  js=0.9401
  PSO-3D-LB       : mr=nan  jfi=0.7799  js=nan
  SSA-3D-LB       : mr=63.03  jfi=0.6788  js=0.8073
  → result/multiconfig2/static_K20.json

=== Static  K=30, L=9, G=6  (G+L)*M/K=2.00 ===
  [ 1/50] seed=1  LB-BVF: mr=67.4 jfi=0.958
  [ 2/50] seed=4  LB-BVF: mr=60.4 jfi=0.878
  [ 3/50] seed=5  LB-BVF: mr=54.8 jfi=0.981
  [ 4/50] seed=3  LB-BVF: mr=65.1 jfi=0.862
  [ 5/50] seed=6  LB-BVF: mr=74.0 jfi=0.969
  [ 6/50] seed=7  LB-BVF: mr=73.3 jfi=0.881
  [ 7/50] seed=2  LB-BVF: mr=67.1 jfi=0.910
  [ 8/50] seed=8  LB-BVF: mr=72.6 jfi=0.923
  [ 9/50] seed=9  LB-BVF: mr=72.7 jfi=0.870
  [10/50] seed=10  LB-BVF: mr=59.7 jfi=0.941
  [11/50] seed=14  LB-BVF: mr=80.8 jfi=0.895
  [12/50] seed=12  LB-BVF: mr=69.1 jfi=0.823
  [13/50] seed=11  LB-BVF: mr=70.8 jfi=0.937
  [14/50] seed=13  LB-BVF: mr=70.7 jfi=0.959
  [15/50] seed=15  LB-BVF: mr=71.9 jfi=0.934
  [16/50] seed=16  LB-BVF: mr=57.4 jfi=0.797
  [17/50] seed=17  LB-BVF: mr=68.3 jfi=0.904
  [18/50] seed=18  LB-BVF: mr=73.9 jfi=0.878
  [19/50] seed=19  LB-BVF: mr=73.8 jfi=0.986
  [20/50] seed=20  LB-BVF: mr=70.5 jfi=0.888
  [21/50] seed=21  LB-BVF: mr=76.7 jfi=0.937
  [22/50] seed=22  LB-BVF: mr=78.8 jfi=0.924
  [23/50] seed=24  LB-BVF: mr=67.0 jfi=0.957
  [24/50] seed=23  LB-BVF: mr=67.5 jfi=0.939
  [25/50] seed=25  LB-BVF: mr=61.9 jfi=0.927
  [26/50] seed=27  LB-BVF: mr=74.6 jfi=0.933
  [27/50] seed=26  LB-BVF: mr=66.9 jfi=0.946
  [28/50] seed=28  LB-BVF: mr=76.9 jfi=0.863
  [29/50] seed=31  LB-BVF: mr=75.3 jfi=0.914
  [30/50] seed=29  LB-BVF: mr=73.8 jfi=0.757
  [31/50] seed=30  LB-BVF: mr=70.6 jfi=0.911
  [32/50] seed=32  LB-BVF: mr=72.1 jfi=0.886
  [33/50] seed=34  LB-BVF: mr=80.1 jfi=0.902
  [34/50] seed=33  LB-BVF: mr=64.0 jfi=0.830
  [35/50] seed=35  LB-BVF: mr=68.0 jfi=0.851
  [36/50] seed=36  LB-BVF: mr=57.0 jfi=0.937
  [37/50] seed=37  LB-BVF: mr=71.9 jfi=0.939
  [38/50] seed=38  LB-BVF: mr=79.2 jfi=0.933
  [39/50] seed=39  LB-BVF: mr=69.2 jfi=0.841
  [40/50] seed=41  LB-BVF: mr=75.2 jfi=0.914
  [41/50] seed=40  LB-BVF: mr=65.8 jfi=0.958
  [42/50] seed=42  LB-BVF: mr=78.9 jfi=0.936
  [43/50] seed=44  LB-BVF: mr=64.6 jfi=0.894
  [44/50] seed=43  LB-BVF: mr=79.5 jfi=0.910
  [45/50] seed=45  LB-BVF: mr=70.6 jfi=0.916
  [46/50] seed=47  LB-BVF: mr=66.3 jfi=0.735
  [47/50] seed=46  LB-BVF: mr=74.8 jfi=0.895
  [48/50] seed=48  LB-BVF: mr=56.8 jfi=0.857
  [49/50] seed=49  LB-BVF: mr=59.9 jfi=0.960
  [50/50] seed=50  LB-BVF: mr=70.1 jfi=0.754

  K=30 完成 (1169s)
  LB-BVF          : mr=69.77  jfi=0.9006  js=0.9924
  GA-3D-LB        : mr=60.73  jfi=0.7499  js=0.8368
  PSO-3D-LB       : mr=56.92  jfi=0.6659  js=0.7557
  SSA-3D-LB       : mr=54.45  jfi=0.6045  js=0.6968
  → result/multiconfig2/static_K30.json

=== Static  K=40, L=9, G=6  (G+L)*M/K=1.50 ===
  [ 1/50] seed=4  LB-BVF: mr=61.2 jfi=0.820
  [ 2/50] seed=7  LB-BVF: mr=61.5 jfi=0.981
  [ 3/50] seed=8  LB-BVF: mr=54.2 jfi=0.948
  [ 4/50] seed=5  LB-BVF: mr=51.7 jfi=0.912
  [ 5/50] seed=2  LB-BVF: mr=53.7 jfi=0.860
  [ 6/50] seed=3  LB-BVF: mr=56.2 jfi=0.973
  [ 7/50] seed=6  LB-BVF: mr=58.9 jfi=0.872
  [ 8/50] seed=1  LB-BVF: mr=60.5 jfi=0.931
  [ 9/50] seed=9  LB-BVF: mr=58.0 jfi=0.862
  [10/50] seed=10  LB-BVF: mr=65.2 jfi=0.874
  [11/50] seed=14  LB-BVF: mr=53.1 jfi=0.865
  [12/50] seed=15  LB-BVF: mr=53.2 jfi=0.974
  [13/50] seed=11  LB-BVF: mr=61.3 jfi=0.973
  [14/50] seed=12  LB-BVF: mr=55.7 jfi=0.890
  [15/50] seed=16  LB-BVF: mr=56.7 jfi=0.827
  [16/50] seed=13  LB-BVF: mr=59.7 jfi=0.959
  [17/50] seed=19  LB-BVF: mr=63.9 jfi=0.973
  [18/50] seed=17  LB-BVF: mr=54.1 jfi=0.886
  [19/50] seed=22  LB-BVF: mr=51.8 jfi=0.967
  [20/50] seed=18  LB-BVF: mr=64.5 jfi=0.953
  [21/50] seed=20  LB-BVF: mr=54.3 jfi=0.934
  [22/50] seed=21  LB-BVF: mr=62.9 jfi=0.899
  [23/50] seed=24  LB-BVF: mr=48.4 jfi=0.866
  [24/50] seed=23  LB-BVF: mr=50.0 jfi=0.963
  [25/50] seed=25  LB-BVF: mr=58.1 jfi=0.946
  [26/50] seed=29  LB-BVF: mr=49.9 jfi=0.899
  [27/50] seed=27  LB-BVF: mr=64.3 jfi=0.891
  [28/50] seed=26  LB-BVF: mr=64.2 jfi=0.881
  [29/50] seed=30  LB-BVF: mr=49.3 jfi=0.884
  [30/50] seed=28  LB-BVF: mr=57.0 jfi=0.846
  [31/50] seed=31  LB-BVF: mr=53.6 jfi=0.959
  [32/50] seed=32  LB-BVF: mr=69.8 jfi=0.960
  [33/50] seed=33  LB-BVF: mr=49.9 jfi=0.807
  [34/50] seed=36  LB-BVF: mr=53.5 jfi=0.834
  [35/50] seed=34  LB-BVF: mr=57.5 jfi=0.971
  [36/50] seed=37  LB-BVF: mr=58.0 jfi=0.872
  [37/50] seed=38  LB-BVF: mr=47.2 jfi=0.935
  [38/50] seed=39  LB-BVF: mr=66.7 jfi=0.870
  [39/50] seed=35  LB-BVF: mr=43.2 jfi=0.931
  [40/50] seed=40  LB-BVF: mr=54.7 jfi=0.948
  [41/50] seed=42  LB-BVF: mr=54.7 jfi=0.916
  [42/50] seed=41  LB-BVF: mr=68.6 jfi=0.943
  [43/50] seed=43  LB-BVF: mr=66.6 jfi=0.887
  [44/50] seed=46  LB-BVF: mr=59.8 jfi=0.912
  [45/50] seed=45  LB-BVF: mr=54.7 jfi=0.893
  [46/50] seed=44  LB-BVF: mr=56.8 jfi=0.886
  [47/50] seed=47  LB-BVF: mr=59.4 jfi=0.765
  [48/50] seed=48  LB-BVF: mr=53.9 jfi=0.975
  [49/50] seed=50  LB-BVF: mr=44.9 jfi=0.837
  [50/50] seed=49  LB-BVF: mr=59.0 jfi=0.894

  K=40 完成 (1824s)
  LB-BVF          : mr=56.93  jfi=0.9061  js=0.9151
  GA-3D-LB        : mr=50.41  jfi=0.7041  js=0.7218
  PSO-3D-LB       : mr=47.83  jfi=0.6519  js=0.6382
  SSA-3D-LB       : mr=45.09  jfi=0.6199  js=0.5630
  → result/multiconfig2/static_K40.json

全部静态配置完成
